2,Tell Us Your Morning Routine And We'll Tell You What % Lazy Girl You Are,buzzfeed,Are you taking your time or doing the bare minimum?,,,
4,Elon Musk tells employees Tesla will streamline management,cnbc,Tesla will begin the restructuring process CEO Elon Musk discussed on a conference call in early May.,,,
5,Republican Sen. Marco Rubio warns: Trump's reversal on China's ZTE is a national security risk,cnbc,Rubio's criticism of Trump's move to help ZTE marks the first backlash to the effort from a top Republican official.,,,
7,Waymo tells police how to break into and disable its self-driving cars,cnbc,"The instructions aim to immobilize the vehicle, first, but protect Waymo's autonomous tech second.",,,
4,"As much as $150 billion annually at stake for Apple, Intel and other US tech companies in China-US trade fight",cnbc,"U.S. technology companies generate roughly $100 billion to $150 billion in revenues from China, Jefferies analysts estimate.",,,
8,IRS may nix blue states' workaround on tax deduction caps,cnbc,Three high-tax states have passed legislation that will allow residents a work around for caps on state and local income taxes. The only thing that's missing is Uncle Sam's approval of these strategies.,,,
8,US Supreme Court rules for New Jersey in state's fight to legalize sports betting,cnbc,"The U.S. Supreme Court will allow more states to legalize sports betting, breaking up Nevada's monopoly on the practice.",,,
6,Mark Cuban: Top sports team just saw their value double on Supreme Court betting decision,cnbc,"The Supreme Court decision to allow states to legalize sports betting is great news for investors in the gambling industry, billionaire investor Mark Cuban told CNBC on Monday.",,,
9,Deadly protests erupt over the US Embassy move to Jerusalem,cnbc,Dozens of Palestinians are killed and hundreds wounded as they press attempts to cross into Israel from Gaza to protest the birth of the Jewish state 70 years earlier.,,,
7,Here's how blockchain may replace IDs in the future,cnbc,The UN's World Food Program launched a project called Building Blocks in 2016 to look into blockchain's capabilities. Blockchain can help create a decentralized identity for those with no proof of their existence. Part of their project includes replacing cash registers in refugee camps throughout Jordan.,,,
2,SoulCycle CEO on her college wake-up call and the No. 1 thing women can do to get ahead,cnbc,SoulCycle CEO Melanie Whelan sits down with Adam Bryant to talk about challenges she's faced and her best advice to other women.,,,
9,US opens new Embassy in Jerusalem as dozens die in Gaza,cnn,"The US officially relocated its Embassy to Jerusalem on Monday, formally upending decades of US policy in a move that was met with with deadly clashes in Gaza.",,,
9,Protests in Gaza ahead of US embassy move: Live updates,cnn,"At least 25 people were killed during protests in Gaza, hours before the US embassy opens in Jerusalem. Follow here for the latest.",,,
5,Kushner calls for unity at Jerusalem embassy dedication,cnn,"White House senior adviser Jared Kushner called for unity Monday at the opening of the United States' new embassy in Jerusalem, according to excerpts of his speech released by the White House.",,,
9,Controversial US pastors take part in Jerusalem embassy opening,cnn,Monday's ceremony marking the relocation of the US Embassy in Israel to Jerusalem will break with tradition in more ways than one. Evangelical leaders John Hagee and Robert Jeffress will be in attendance and are slated to speak.,,,
5,"Ivanka Trump, Mnuchin unveil embassy plaque - CNN Video",cnn,Treasury Secretary Steven Mnuchin and adviser to President Trump Ivanka Trump unveil the plaque at the new US Embassy in Jerusalem.,,,
5,"For evangelicals, Jerusalem is about prophecy, not politics",cnn,"Donald Trump's recognition of Jerusalem pleases evangelical Christians because they see it as a step toward the end-times, says Diana Butler Bass.",,,
6,Beitar 'Trump' Jerusalem: Israeli soccer club renames itself,cnn,One of Israel's most famous soccer clubs has renamed itself Beitar 'Trump' Jerusalem in honor of Donald Trump's decision to relocate the US embassy to Jerusalem.,,,
8,Supreme Court lets states legalize sports gambling,cnn,"The Supreme Court cleared the way on Monday for states to legalize sports betting, striking down a 1992 federal law that had prohibited most states from authorizing sports betting.",,,
8,See lava spew hundreds of feet into air - CNN Video,cnn,More Hawaii residents have been told to evacuate as two new fissures open and volcanoes spew lava and fumes. CNN's Scott McLean reports.,,,
8,NYT: More than 2 dozen people killed by carbon monoxide after leaving on their keyless cars,cnn,A New York Times report published Sunday found at least 28 deaths and 45 injuries have been linked to carbon monoxide from keyless ignition vehicles.,,,
6,Celtics' Morris bottles up LeBron to back up talk,espn,"Marcus Morris, moved into the Celtics' starting lineup for Game 1 against the Cavaliers after eyebrow-raising boasts, was indeed effective at limiting the output of LeBron James.",,,
6,"Sources: Bucks, Raptors key in on Budenholzer",espn,"With both teams having head-coaching spots to fill, the Raptors are opening conversations with Mike Budenholzer while Bucks will re-engage with him early this week, sources said.",,,
6,"Coach: Serena ready now, had played too soon",espn,"Serena Williams' coach, Patrick Mouratoglou, told WTATennis.com that he is ""confident"" Williams will be at Roland Garros for the start of the season's second Grand Slam on May 21.",,,
6,Cavs lament another 1-0 playoff series deficit,espn,"The statistics tell the Game 1 story: The Cavs were outscored 36-18 in the first quarter and trailed by as many as 29 points, and their 26-point halftime deficit was the largest in LeBron James' 229-game postseason career.",,,
6,A Yankee first: Four 10-HR hitters by 40th game,espn,"Yankees slugger Giancarlo Stanton hit his 10th home run of the season Sunday night against the A's, giving the team four players with 10 home runs by the 40th game of the season, a first in Yankees history.",,,
6,Tiger: 'Played much better' than score suggests,espn,"After finishing tied for 11th at The Players Championship, Tiger Woods said he felt he ""really played really good"" on Sunday and will head into his next tournament with a lot of confidence.",,,
6,Which contenders are in trouble and what they can do about it?,espn,"Six weeks ago, the Dodgers looked like postseason locks. Now they're among the clubs whose playoff odds have taken a big hit.",,,
1,Netflix Renews Lost in Space for Season 2 - IGN,ign,More danger awaits Will Robinson and the rest of the Robinson family in Season 2.,,,
2,"Daily Deals: 55"" Samsung 4K TV for $550, Microsoft Surface Laptop, and Gloomhaven - IGN",ign,"700-Piece LEGO Go Brick Me for $24 (only 3 cents per brick), Xbox One S Forza Edition for $229, 4K Marvel &amp;amp; Star Wars Movies, and More.",,,
2,Opinion: How God of War Made Me a Better Father - IGN,ign,The bond between Kratos and Atreus made me think quite a bit about the relationship between myself and my daughter.,,,
1,Exclusive: Deadpool Photobombs Logan and Other Fox Movies in These New Blu-ray Covers - IGN,ign,Check out these awesome Deadpool &quot,photobombed&quot, Blu-ray covers.,
1,Overwatch Anniversary 2018 Announced - IGN,ign,"The Overwatch Anniversary is coming, and it brings new opportunities to obtain limited-time rewards!",,,
1,"Out This Week: Rick and Morty Season 3, Dragon's Crown Pro, The Wizard on Blu-ray - IGN",ign,Bring home Pickle Rick this week. No need to refrigerate him!,,,
1,How a Failed Jurassic Park Game Led to the Creation of the Xbox - IGN Unfiltered - IGN,ign,"Before Seamus Blackley wrote the proposal for the original Xbox, a string of setbacks, bad luck, and self-imposed shame conspired to almost drive him out of the industry entirely.",,,
1,Jurassic World Evolution: Revealing Isla Pena - IGN First - IGN,ign,Here's Jurassic World Evolution's most challenging island yet.,,,
1,The First 17 Minutes of State of Decay 2 Gameplay - IGN Video,ign,We take a look at the beginning of Eric and Jordan's adventure in the sequel for State of Decay!,,,
1,The First 11 Minutes of Wizard of Legend on Nintendo Switch - IGN Video,ign,We find out what it takes to be a true wizard in Wizard of Legend!,,,
1,Stardew Valley launches on PS Vita May 22,polygon,"The PlayStation Vita version of Stardew Valley is (still) coming soon. An good news! If you already have Stardew Valley on PS4, guess what? You'll have it on Vita now, too.",,,
1,"An ""alternate"" Superhot will feature levels inspired by Japan",polygon,Hopefully this will get a US release as well,,,
1,Fortnite Battle Royale and Avengers: Infinity War event starts May 8,polygon,A mashup between two of the biggest franchises on the way,,,
1,Rage 2 trailer mixes Mad Max with Borderlands,polygon,"Rage 2 brings Bethesda's franchise back to life. The trailer suggests a mix of Mad Max, Borderlands and lots of video game shooter combat.",,,
1,NES Classic Edition returns to stores in June,polygon,Nintendo expects the system to last through the year,,,
1,Overwatch League's Philadelphia Fusion's FU shirts banned,polygon,"Wearing black t-shirts, they beat Toronto anyway",,,
1,"'Idiot Games' developer Chris Bulch strikes back with 'Rocket Punch,' launching in 2019",polygon,Rocket Punch! Coming to PlayStation 4 in 2019.,,,
8,Supreme Court Invalidates Federal Ban On Sports Gambling,the-huffington-post,The 7-2 ruling paves the way for New Jersey and other states to legalize sports betting.,,,
8,Iowa Gov. Says 'We're Not Slowing Down' After Signing Country's Strictest Abortion Ban,the-huffington-post,"""We are No. 1 in the country when it comes to protecting life,"" Republican Gov. Kim Reynolds said.",,,
4,Facebook Suspends 200 Apps Amid Data Misuse Investigation,the-huffington-post,The investigation was launched in response to the Cambridge Analytica scandal.,,,
8,Parkland Students Had 'Legendary Breakfast' With Waffle House Shooting Hero James Shaw,the-huffington-post,"""Lots of work ahead but the young people will win,"" tweeted student David Hogg.",,,
5,Still No Apology From The White House Over 'Dying' McCain Dig,the-huffington-post,The White House appeared to be more upset that Kelly Sadler's comment was leaked than by her ugly remark.,,,
8,Fox News Host: Trump Fulfilled Biblical Prophecy By Moving U.S. Embassy To Jerusalem,the-huffington-post,Jeanine Pirro also compared Trump to King Cyrus.,,,
9,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,the-huffington-post,"In one of his most controversial decisions to date, Trump declared Jerusalem the capital of Israel in December.",,,
8,"Massive New Fissure Opens On Hawaiian Volcano, Prompting More Evacuations",the-huffington-post,"Some 37 buildings have been destroyed and nearly 2,000 people ordered to evacuate in the past 10 days.",,,
9,At Least 28 Palestinians Die in Protests as U.S. Prepares to Open Jerusalem Embassy,the-new-york-times,The relocation of the embassy from Tel Aviv was timed for the 70th anniversary of the formation of Israel - a move that many Israelis have celebrated but that has enraged Palestinians.,,,
9,U.S. Embassy Opens in Jerusalem: 9 Things to Know About the City,the-new-york-times,"Between east and west, church property and politics, earthly Jerusalem is complicated. Here is some background about the city, which is both holy and contested.",,,
9,At the Gaza-Israel Fence: Raw Nerves and Shots Fired,the-new-york-times,A Times reporter surveying the scene at the fence between Gaza and Israel before what are expected to be big demonstrations gets caught up in the aftermath of a shooting.,,,
9,Israel Feels Pride but Senses Peril as U.S. Moves Embassy,the-new-york-times,"On the eve of its 70th anniversary, Israel is torn by forces within and without. For all the successes, one historian said, ""the future is very bleak.""",,,
9,On the Ground in Gaza's Protest Camps,the-new-york-times,"Palestinians in Gaza are taking part in mass protests, demanding an end to the 11-year blockade of the territory and a return to lands in what is now Israel. The Times's Jerusalem bureau chief reports from the region.",,,
8,"As U.S. Demands Nuclear Disarmament, It Moves to Expand Its Own Arsenal",the-new-york-times,"While it is possible the American buildup is part of a negotiating strategy, the White House has made clear it envisions the reduction of nuclear weapons as a one-way street.",,,
9,"With Demise of Nuclear Deal, Iran's Foes See an Opportunity. Others See Risk of War.",the-new-york-times,Iran has proved adept at exploiting upheavals in the Middle East to deter enemies and spread its influence. Now President Trump and American allies in the region want to turn back the clock.,,,
8,Supreme Court Ruling Favors Sports Betting,the-new-york-times,"The case concerned New Jersey, but it has implications for other states eager to allow and tax sports gambling. Americans are estimated to annually place $150 billion in illegal wagers on sports.",,,
8,Will the Supreme Court Scrutinize Solitary Confinement? One Justice Offers a Map,the-new-york-times,"In 1979, an appeals court judge named Anthony Kennedy ruled that prisoners have a right to a little fresh air. Now he and his fellow justices could decide a similar case.",,,
8,Trump Vows to Save Jobs at China's ZTE Lost After U.S. Sanctions,the-new-york-times,"The company, which was barred from using American components, said it had halted ""major operating activities."" I",,,
8,"U.S., China Discussing Deal on ZTE, Agricultural Tariffs",the-wall-street-journal,The U.S. and China are closing in on a deal that would give China's ZTE Corp. a reprieve from potentially crippling U.S. sanctions in exchange for Beijing removing tariffs on billions of dollars of U.S. agricultural products.,,,
8,Supreme Court Ruling for New Jersey Opens Door to Sports Betting,the-wall-street-journal,"The Supreme Court opened the door for states to allow betting on sporting events, siding with the state of New Jersey in a case that invalidates a federal law that prohibited such wagers in most of the U.S.",,,
4,"CBS Goes on Attack Against Redstones, Suing Controlling Shareholder for Breaching Fiduciary Duty",the-wall-street-journal,"CBS Corp. has declared war on its controlling shareholder, suing Shari Redstone and her family's National Amusements Inc. holding company for trying to force CBS to merge with Viacom Inc.",,,
4,Hedge Funds' Favorite Charity Is Funding Their Opponents,the-wall-street-journal,"The Robin Hood Foundation, a nonprofit that amounts to the hedge-fund industry's unofficial charitable arm, has for years sent millions of dollars donated by hedge-fund managers to groups participating in anti-hedge-fund activist campaigns.",,,
9,At Least 16 Palestinian Protesters Killed as U.S. Opens Embassy in Jerusalem,the-wall-street-journal,"Palestinians clashed on Monday with the Israeli military at the fence dividing the Gaza strip and Israel, leaving at least 16 protesters dead ahead of the U.S. opening of its embassy in Jerusalem.",,,
7,How the World's Biggest Companies Are Fine-Tuning the Robot Revolution,the-wall-street-journal,"Automation is leading to job growth in certain industries where machines take on repetitive tasks, freeing humans for more creative, higher-order duties. That's particularly relevant for manufacturing, the food sector and service sectors.",,,
4,"Tesla CEO Musk Says Company Is 'Flattening Management Structure' in



Reorganization",the-wall-street-journal,"Tesla will undergo a restructuring to flatten its management structure, Chief Executive Elon Musk told employees.",,,
9,"Iraqi Voters Seem to Reject U.S., Iran With Support for Sadr",the-wall-street-journal,"Iraqi voters appeared to hand a political breakthrough in national elections to populist cleric Moqtada al-Sadr, forcing the U.S. and Iran to confront the prospect that a frequent critic of both may take the lead in selecting Iraq's next premier.",,,
4,Goldman Sachs Securities Division Chiefs to Leave Firm,the-wall-street-journal,"Goldman Sachs is shaking up the leadership of its trading arm, with two of three executives who oversee its powerful securities division leaving the firm next month.",,,
2,Should Streaming Music Services Penalize Bad Behavior?,the-wall-street-journal,"Spotify's removal of R. Kelly from its playlists under the streaming service's ""Hate Content and Hateful Conduct"" policy has touched off a music-industry debate about free speech.",,,
9,Israelis kill 18 Palestinians in Gaza protesting U.S. Embassy move to Jerusalem,the-washington-post,Another 900 Palestinians were injured in the clashes making it the bloodiest demonstration in six weeks of protests.,,,
9,Jerusalem gears up to welcome the new U.S. Embassy,the-washington-post,"A White House delegation, including Ivanka, Jared and a controversial a preacher, are in Jerusalem for the event.",,,
8,"States are free to authorize sports betting, Supreme Court rules",the-washington-post,The ruling is likely to set off a scramble among the states to find a way into a billion-dollar business.,,,
7,"This fertility doctor is pushing the boundaries of human reproduction, with little regulation",the-washington-post,"John Zhang produced a three-parent baby, implanted abnormal embryos and wants to help 60-year-old women have children.",,,
7,Analysis | The Cybersecurity 202: Trump's ZTE reversal flouts warnings from top national security officials,the-washington-post,U.S. officials have warned that ZTE's phones could be used as surveillance tools against Americans.,,,
8,Trump pledges to help Chinese phone maker ZTE 'get back into business',the-washington-post,"ZTE had said last week that it would cease ""major operating activities"" because of the U.S. government's recent trade restrictions.",,,
5,Trump's drug price retreat adds to list of abandoned populist promises,the-washington-post,A candidate who promised to crack down on Wall Street and cut tax breaks for the wealthy has gone in the opposite direction as president.,,,
5,"Trump's improved standing, energized GOP voters worry Democrats",the-washington-post,Democrats were confident anti-Trump fervor would help deliver a House majority and possibly the Senate. Now they're openly fretting about Florida and other contested states.,,,
5,Analysis | The Daily 202: Trump voters stay loyal because they feel disrespected,the-washington-post,Liberal and conservative analysts make the same discovery in a Michigan county that flipped.,,,
5,Perspective | President Trump just unveiled a new White House 'faith' office. It actually weakens religious freedom.,the-washington-post,Thousands of people who are served by government-funded faith groups just lost protections.,,,
5,A New View of Antitrust Law That Favors Workers,bloomberg,Why the Chicago School (of all places) is looking askance at mergers and monopolies.,,,
2,23 Rainbow Destinations To Visit Before You Die,buzzfeed,Travel with all the colors of the wind.,,,
2,Pick Your Favorite Food And We'll Tell You Which Country You Should Visit This Summer,buzzfeed,Because we're all counting down the days 'til summer.,,,
9,A Senior Indian Politician Has Been Charged Over His Wife's Death In 2014,buzzfeed,The former United Nations official and Indian minister is charged with helping his wife Sunanda Pushkar kill herself.,,,
7,"New York cryptocurrency conference triples in size, tracking for $17 million in ticket sales",cnbc,"An estimated 8,500 are attending CoinDesk's Consensus 2018 this week in New York City, according to Barry Silbert, CEO and and founder of parent company Digital Currency Group.",,,
1,Destiny 2 Puzzle Leads Players to Real-Life Adventure (and Loot) - IGN,ign,An elaborate puzzle found in Destiny 2's Warmind expansion led Guardians on a real-life treasure hunt in upstate New York.,,,
1,Alleged New Xbox One Controller Focused on Accessibility Leaked - IGN,ign,An alleged new Xbox One peripheral focused on accessibility has been leaked showcasing programmable pads.,,,
9,"Lies, Damn Lies and Inflation",the-wall-street-journal,"In the U.S. and Europe, the central banks have been taking radically different monetary approaches even though the two regions have had similar inflation, job creation and inflation targets. One reason for this is that with no inflation scare in either the U.S. or eurozone, headline numbers matter.",,,
9,Canada's Top Pot Millionaires Just Got Richer With Aurora Deal,bloomberg,Some of Canada's richest marijuana investors just got a little richer -- at least on paper.,,,
8,Sports Betting Is a Victory for States' Rights,bloomberg,The Supreme Court rules that the federal government can't ban New Jersey from passing a new gambling law.,,,
4,Morgan Stanley just issued an ominous forecast for the rest of 2018 - and it should have traders worried that markets are peaking,business-insider,BI PRIME: Morgan Stanley says that the easy conditions enjoyed by stock traders over the past several years are rapidly coming to an end. The firm provides a sp,,,
5,"These 30 Facebook ads were shared by Russian trolls just days before the 2016 election - some are so subtle, you probably didn't realize they were ads",business-insider,"This week, Congress released every ad created and shared by Russian trolls during the 2016 election. In the week leading up to the election, nearly 100 were cre",,,
4,Goldman Sachs just handed its securities division over to one of its youngest-ever partners,business-insider,"And then there was one. Isabelle Ealet and Pablo Salame, coheads of Goldman Sachs' powerful securities business, are retiring in June, according to a memo seen",,,
2,"Just 19 Funny Tweets About ""Harry And Meghan: A Royal Romance""",buzzfeed,"""Who replaced Prince William with this 43-year-old accountant from Ohio?""",,,
2,Dua Lipa Just Said THAT About Hats,buzzfeed,I respect this take!!!,,,
4,JP Morgan recommends betting on AMD for a short-term pop from cryptocurrency conference hype,cnbc,J.P. Morgan is bullish on AMD shares due to the blockchain conferences in New York this week.,,,
4,"Facebook just entered a 'death cross,' which could signal a failed relief rally: Piper Jaffray",cnbc,"Facebook has ricocheted back to prescandal levels and is now within reach of record highs again. The charts tell a different Facebook story, says Piper Jaffray's Craig Johnson.",,,
8,Supreme Court strikes ban on sports gambling - CNN Video,cnn,"The Supreme Court cleared the way for states to legalize sports betting, striking down a 1992 federal law that had prohibited most states from authorizing sports betting.",,,
8,US Supreme Court Rules State Ban on Sports Betting Is Unconstitutional,cnn,"Sports gambling is coming to New Jersey-and likely many more states across the U.S.    As noted by CNN's  Ariane de Vogue and Maegan Vazquez , the  Supreme Court of the  United ...",,,
2,Internet Celebrates Legalized Betting,cnn,"Get the latest Internet Celebrates Legalized Betting news, photos, rankings, lists and more on Bleacher Report",,,
1,How DraftKings is preparing for sports betting - CNN Video,cnn,"Later this year, the Supreme Court will decide if New Jersey can legalize sports betting. DraftKings CEO Jason Robins tells CNNMoney's Ahiza Garcia how the daily fantasy sports site is preparing for a potential flood of business if that happens.",,,
8,Supreme Court upholds privacy rights for unauthorized rental car drivers,cnn,The Supreme Court rejected the argument that the unauthorized driver of a rental car has diminished privacy rights even though his name was not listed on the rental agreement.,,,
6,Three-time Pro Bowl DB Hall says he's retired,espn,"Veteran defensive back DeAngelo Hall is retiring, saying he is considering offers to work in TV or as a front-office executive.",,,
1,Kingdom Hearts 3 - Road to E3 2018 - IGN,ign,IGN's road to E3 kicks off with a look at Square-Enix's long-awaited sequel.,,,
1,Why Knights of the Old Republic 2 Tells My Favourite Star Wars Story - IGN,ign,"Written in shades of grey, with one of the all-time great Star Wars characters.",,,
1,"Margot Kidder, Actress Who Played Lois Lane In 'Superman,' Dead At 69",the-huffington-post,The cause of death has not been made public.,,,
5,"Amid Political Disarray, Pence Reaches for Control of G.O.P.",the-new-york-times,President Trump has not yet crafted a strategy for his involvement in the midterms. So his supremely disciplined running mate has stepped into the void.,,,
1,Listen: Italian Open - British number one Edmund v Jaziri,bbc-sport,Great Britain's Kyle Edmund faces Malek Jaziri in the first round of the Italian Open in Rome - listen to BBC Radio 5 live sports extra commentary.,,,
9,An Overwhelmed French Police Force Are Chasing The Latest ISIS Attacker's Connections,buzzfeed,Khamzat Azimov vowed allegiance to ISIS before the Paris knife attack that killed one person over the weekend.,,,
9,Meghan Markle And Prince Harry's Wax Figures Are...Kind Of Scarily Good???,buzzfeed,This is borderline creepy.,,,
9,China is reportedly close to removing tariffs on agricultural products in exchange for relief for ZTE,cnbc,"China may remove tariffs on U.S. agricultural products, including soybeans, according to reports from Reuters and Dow Jones.",,,
9,Marquez makes Mexico's preliminary WC squad,espn,Rafa Marquez has been included in Mexico's preliminary squad for this summer's World Cup in Russia.,,,
2,The Best Cheap 4K TVs - IGN,ign,"We dug around to find some crazy low-prices on all sorts of different 4K TVs, from name brands to ultra-budget. Samsung, Sony, TCL, HIsense, Sceptre, and more.",,,
1,This Super Mario 64 Mod Could Be the Start of a Battle Royale Mode - IGN,ign,"Move over Fortnite, Mario is here to take on the battle royale throne.",,,
9,Analysis | Trump's embassy move has triggered deadly protests. These maps explain why.,the-washington-post,"The move has been branded ""dangerous,"" ""catastrophic"" and ""irresponsible"" by countries usually considered U.S. allies.",,,
9,"Analysis | A look at Robert Jeffress, the controversial figure giving the prayer at the U.S. Embassy in Jerusalem today",the-washington-post,"Long before Jeffress began defending Trump on cable news, he made headlines for attacking other Americans whose faiths are different from his own.",,,
1,Lois Lane actress dies aged 69,bbc-news,"Margot Kidder, known for her role as Lois Lane in 1978's Superman, died at her home on Sunday.",,,
8,Fed's Bullard Blames Central Bank for Flattening Yield Curve,bloomberg,"Blame the U.S. central bank for the flattening the yield curve, said Federal Reserve Bank of St. Louis President James Bullard, who urged his colleagues to avoid aggressive policy tightening that would push shorter-term rates above those on longer-dated Treasuries.",,,
3,"Tech Stocks on Cusp of Record With Earnings, Trump Providing Relief",bloomberg,Technology stocks are on the verge of surpassing March's record closing high amid signs of cooling trade tensions between the U.S and China and the wind-down of an earnings season that helped soothe investors rattled by privacy scandals and antitrust threats.,,,
4,Trump's Reversal on China's ZTE Penalty Sparks Bipartisan Rebuke,bloomberg,President Donald Trump's conciliatory move to help Chinese telecom equipment maker ZTE stoked bipartisan condemnation in Washington Monday.,,,
9,These Photos Show The Stark Divide Between Shooting Deaths In Gaza And The Celebrations In Jerusalem,buzzfeed,Dozens of Palestinian protesters were shot dead by Israeli forces Monday as the US officially opened a new embassy to Israel in Jerusalem.,,,
2,Plan A Trip To London And We'll Give You A West End Show To Watch,buzzfeed,Will you be changed for good?,,,
3,Goldman: Something strange is happening with the US economy that could cause interest rates to jump,cnbc,"America's budget deficit and unemployment rate are heading in opposite direction - something that's never happened during post World War II peacetime and could cause a significant jump in interest rates. Goldman Sachs projects the 10-year Treasury note will be yielding 3.6 percent by the end of 2019, up from a shade below 3 percent where it's trading now.",,,
4,This is the breakout move that will take Apple to $1 trillion,cnbc,"Apple, already the world's largest company by market cap, looks likely to become even bigger. Its recent gains put it on track to hit a never-before-seen target, one technician says.",,,
4,Rare Rolex known as 'The Unicorn' sells for $5.9 million,cnbc,"The huge price, which was almost twice the low estimate, suggests that the recent Rolex Daytona craze shows no signs of slowing.",,,
2,Consumers Skip More High-Rate Auto Payments Than During Crisis,bloomberg,"Borrowers in the U.S. are defaulting on subprime auto loans at a higher rate than during the financial crisis, according to Fitch Ratings.",,,
3,Investors Are Pouring Money Into Tech Stocks Once Again,bloomberg,Investors are once again warming up to the year's hottest sector -- technology.,,,
8,"Icahn Wins Xerox Battle, But the War Is Undecided",bloomberg,It's unclear where the activist investor is going to find the $40 all-cash bid he's looking for at the office-equipment and services company.,,,
4,Verizon's Tim Armstrong is on the shortlist to run the world's largest advertising agency - here's where his discussions with WPP are really at,business-insider,"WPP has drafted a list of potential successors to ousted CEO Sir Martin Sorrell. And Oath CEO Tim Armstrong is on it, but the two sides have yet to talk.",,,
2,Make A Pizza And We'll Reveal The First Letter Of Your Soulmate's Name,buzzfeed,What will it be?,,,
4,Rising oil prices may now be a net positive for the US economy given country's new production prowess,cnbc,"In a significant shift in thinking, several economists contacted by CNBC now believe a rise in US oil prices may not be produce very much if any drag on US growth. Some even contend that the nation's new oil producing prowess make a rise in prices ""a wash"" for growth.",,,
3,Goldman: These 7 growth stocks - including Amazon - should rally even in a flattish market,cnbc,Goldman Sachs tells its clients to buy high growth companies.,,,
8,Supreme Court strikes down sports betting law,espn,The Supreme Court released a landmark decision by striking down a federal law prohibiting sports gambling. The ruling gives individual states the go-ahead to allow betting on sports.,,,
1,Superman Star Margot Kidder Dies at 69 - IGN,ign,Margot Kidder starred opposite Christoper Reeve as Lois Lane in the original Superman movies.,,,
1,"Footage of Unused Super Mario Odyssey Costumes Includes Zombie Mario, New 8-Bit Look - IGN",ign,More unreleased Super Mario Odyssey costume have been revealed.,,,
2,Even The Bottom Of The World's Deepest Ocean Trench Is Not Safe From Plastic Bags,the-huffington-post,"A plastic bag was found at a depth of almost 36,000 feet in the Mariana Trench. Scientists say it's the world's deepest known piece of plastic trash.",,,
1,"A Sports Betting Ban Was Overturned, but Can You Bet on the Game Tonight?",the-new-york-times,"Though the Supreme Court struck down a federal ban on legalizing sports betting and handed a victory to New Jersey, it may be a while before bets can be placed.",,,
8,'Gun-sharing' dock displayed in US city,bbc-news,The art installation aims to show obtaining a gun in the US can be as easy as renting a bike.,,,
4,Bank of Montreal Goes All-In on Pot Deals,bloomberg,Bank of Montreal is emerging as the most aggressive of Canada's big banks in the cannabis industry after landing a mandate to advise on the largest takeover in the sector.,,,
2,Here Are 8 Diseases You Can Get From Ticks You Probably Didn't Know Existed,buzzfeed,Ticks are small but mighty when it comes to spreading disease - and the number of infections they can transmit to humans is growing.,,,
2,"People Are Calling This Bottled Sangria ""Fancy Four Loko"" And The Warnings Are Both Hilarious And Alarming",buzzfeed,"""I had two Friday and woke up the next morning on the kitchen floor with a chicken tender in my hand.""",,,
2,Someone Photoshopped Mario Without Hair And It's Traumatizing,buzzfeed,I'm sorry.,,,
5,Donald Trump does 1 thing at least 20 times a day,cnn,It's been 362 days since Robert Mueller was appointed as special counsel by Deputy Attorney General Rod Rosenstein to investigate Russian interference in the 2016 election and possible collusion with then-candidate Donald Trump's campaign.,,,
1,Everything That's Gone Wrong on AMC's The Terror - IGN,ign,"Here's a handy look at every beast, betrayal and bad decision that's plagued the doomed explorers on AMC's The Terror.",,,
1,"Top Comics to Buy This Week: X-Men Wedding Special #1, New Challengers #1 and More - IGN",ign,"X-Men Wedding Special #1, New Challengers #1, Avengers #2 and more new comics to look for this week.",,,
1,"Margot Kidder, who played Lois Lane in blockbuster 'Superman,' dies at 69",the-washington-post,"Margot Kidder, a smoky-voiced actress who played ace reporter Lois Lane in the ""Superman"" movie phenomenon and was an imperiled homeowner in the popular horror film ""The Amityville Horror"" but whose c...",,,
9,Volcano erupts as campers cook breakfast,bbc-news,A group of hikers has a lucky escape on Indonesia's Mount Merapi volcano.,,,
1,Championship play-offs: Fulham look to overturn one-goal deficit against Derby,bbc-sport,Fulham host Derby in the second leg of their Championship play-off semi-final - follow live text coverage.,,,
9,Unbelievable photos show how chaotic the protests in Gaza are over the new US embassy in Jerusalem,business-insider,"The opening of the new US embassy in Jerusalem sparked violent protests in both Gaza and the West Bank on Monday, leaving dozens of Palestinians dead and woundi",,,
2,30 Exciting New Books To Add To Your Summer Reading List,buzzfeed,Any book is a beach read if you read it on a beach.,,,
4,"Sports betting will be a 'huge industry' after Supreme Court ruling, says DraftKings CEO",cnbc,The company hopes to open up gambling on game outcomes and point totals.,,,
5,Watch: White House briefs press after US embassy opens in Jerusalem,cnbc,"White House deputy press secretary Raj Shah is set to brief reporters Monday afternoon following the opening of the new U.S. embassy in Jerusalem, a highly controversial move that angered the people of Palestine.",,,
4,New Federal Regulator Takes Aim At Facebook,the-huffington-post,"Rohit Chopra, a Trump appointee to the Federal Trade Commission, took a not-so-subtle jab at the tech giant.",,,
8,Who should lead Veterans Affairs? Five veterans explain what they're looking for in a leader.,the-washington-post,OF AMERICA | Millions of veterans rely on the agency - which is second in size to only the Defense Department - for medical care.,,,
8,Gulf of Mexico tropical disturbance means heavy rain and flooding threat for East Coast this week,the-washington-post,Multiple inches of rain are likely from Florida into the Northeast through Saturday.,,,
