1,5 Things Avengers 4 Probably Won't Be Titled - IGN Video,ign,We analyze the Russo Brothers' hints about what Infinity War's follow-up WON'T be called.,ObjectId(5af753068bbcfc7f4b889b69),,,,
8,G.M.O. Foods Will Soon Require Labels. What Will the Labels Say?,the-new-york-times,"The United States Department of Agriculture has proposed guidelines for the new labels, which are required by federal law.",ObjectId(5af753088bbcfc7f4b889b6d),,,,
9,"For a Black Girl in London, It???s the Summer of Meghan Markle",the-new-york-times,"Black Londoners like Tshego Lengolo, 11, suddenly have a reason to tune in to Britain???s royal family: They can see a version of themselves in the woman Prince Harry is set to marry.",ObjectId(5af753098bbcfc7f4b889b71),,,,
9,Knifeman killed by Paris police - reports,bbc-news,"Police in Paris shoot a man dead after he stabs several people in the Opera district, French media say",ObjectId(5af7530a8bbcfc7f4b889b75),,,,
5,Trump-Schneiderman Feud Puts Sexual-Assault Claims in New Light,bloomberg,"Just days after Eric Schneiderman resigned abruptly over allegations that he beat sexual partners, a colorful New York lawyer provided an aftershock.",ObjectId(5af7530c8bbcfc7f4b889b79),,,,
9,Stage stormed during UK's Eurovision song,bbc-news,"The protester appeared to say: ""Nazis of the UK media, we demand freedom"" - but the singer continued.",ObjectId(5af776408bbcfc7f4b889e0b),,,,
1,Eurovision 2018: All the latest,bbc-news,Catch all the news and reaction from the Eurovision Song Contest final in Lisbon.,ObjectId(5af776428bbcfc7f4b889e0f),,,,
6,Premier League: What can happen on final day of season?,bbc-sport,Will Liverpool deny Chelsea the final Champions League place? And what chance is there of Swansea escaping relegation?,ObjectId(5af776438bbcfc7f4b889e14),,,,
6,Chelsea Ladies 2-1 Sunderland Ladies: Eni Aluko scores winner as Chelsea on brink of WSL title,bbc-sport,Chelsea move within just one point of the Women's Super League One title with two games to go after a 2-1 victory over Sunderland.,ObjectId(5af776458bbcfc7f4b889e18),,,,
6,Challenge Cup: Castleford Tigers 18-36 St Helens highlights,bbc-sport,Ben Barba's hat-trick of tries inspires St Helens to victory over Castleford and puts the Super League leaders into the Challenge Cup quarter-finals.,ObjectId(5af776468bbcfc7f4b889e1c),,,,
9,"1 person killed in Paris knife attack, suspect reportedly shot dead by police",business-insider,"One person was killed and several injured in a knife attack in Paris, and the suspected attacker was shot dead by police, French media reported on Saturday.",ObjectId(5af776478bbcfc7f4b889e20),,,,
9,"North Korea details plans to dismantle its nuclear test site in less than 2 weeks, ahead of Trump's summit with Kim",business-insider,"North Korea announced Saturday it will dismatle its nuclear test site in less than two weeks, ahead of leader Kim Jong Un's summit with President Donald Trump.",ObjectId(5af776488bbcfc7f4b889e24),,,,
1,"Here Are 14 Shows That Came Back From The Dead, In Case You're A ""Brooklyn Nine-Nine"" Fan",buzzfeed,"There's hope, Brooklyn Nine-Nine and The Mick fans.",ObjectId(5af776498bbcfc7f4b889e28),,,,
1,Kylie Jenner's Bodyguard Just Slammed The Rumors He's The Father Of Her Baby,buzzfeed,"""I would like to set the record straight...""",ObjectId(5af7764b8bbcfc7f4b889e2c),,,,
1,"16 Times ""Harry Potter"" Fans Roasted The Hell Out Of Donald Trump",buzzfeed,??'?,ObjectId(5af7764c8bbcfc7f4b889e30),,,,
1,You're Either A Disney Princess Or A Marvel Hero - But WHICH ONE?,buzzfeed,Here's the only quiz where you can try to get Belle and end up being Black Panther.,ObjectId(5af7764d8bbcfc7f4b889e35),,,,
1,Cardi B Clapped Back At Azealia Banks For Calling Her Illiterate And Then Deleted Her Instagram,buzzfeed,::pops popcorn and pulls up a chair::,ObjectId(5af7764e8bbcfc7f4b889e39),,,,
1,19 Pictures That Prove Teachers Can Also Be Class Clowns,buzzfeed,Teaching the youth one quip at a time.,ObjectId(5af776508bbcfc7f4b889e3d),,,,
2,You Can't Drive If You Don't Pass This Quiz,buzzfeed,Vroom vroom.,ObjectId(5af776518bbcfc7f4b889e41),,,,
1,"11 Dads Who Are So Wholesome You'll Say ""Aw!"" And 11 Who Are So Savage You'll LOL",buzzfeed,Dads are the best in so many ways.,ObjectId(5af776528bbcfc7f4b889e45),,,,
3,The Fed is raising rates due to a 'fear of what might be in the pipeline',cnbc,Core inflation for April came in at 2.1 percent year-on-year.,ObjectId(5af776538bbcfc7f4b889e49),,,,
9,Man shot by police in Paris after attacking pedestrians with a knife,cnbc,"A man attacked bystanders with a knife in the heart of Paris on Saturday before being shot by police, BFM TV said.",ObjectId(5af776558bbcfc7f4b889e4d),,,,
3,"The Fed is about to deliver a ???punch in the face??? that markets aren???t prepared for, Peter Boockvar says",cnbc,"Markets know the Federal Reserve will deliver more rate hikes this year. They're not prepared for how much it will hurt, argues Peter Boockvar, chief investment officer of Bleakley Advisory Group.",ObjectId(5af776568bbcfc7f4b889e51),,,,
5,Sanders berates staff for leak of Sadler's McCain comment,cnn,"White House press secretary Sarah Sanders privately berated the White House communications and press staff Friday after a leak the previous day of comments by aide Kelly Sadler about Sen. John McCain, according to several sources familiar with the meeting.",ObjectId(5af776578bbcfc7f4b889e57),,,,
5,Mulvaney downplays WH aide's McCain remarks  - CNN Video,cnn,"Office of Management and Budget Director Mick Mulvaney downplays one White House aide's comments about Sen. John McCain, saying it was intended to have that much impact.",ObjectId(5af776588bbcfc7f4b889e5c),,,,
5,Joking about John McCain's death is our terrible new normal,cnn,"On Thursday morning, a White House aide named Kelly Sadler joked about Sen. John McCain's opposition to CIA nominee Gina Haspel by noting that ""he's dying anyway.""",ObjectId(5af776598bbcfc7f4b889e60),,,,
9,Report: Multiple people injured in stabbing attack in Paris,cnn,"A man armed with a knife carried out an attack in Paris on Saturday night, Paris police said on Twitter. Police said the situation is under control.",ObjectId(5af7765c8bbcfc7f4b889e66),,,,
5,Former Trump campaign aide is helping Russian firm shed sanctions,cnn,A former senior campaign and transition aide to President Donald Trump recently inked a deal to help a Russian oligarch's conglomerate shed sanctions the Trump administration slapped on them last month.,ObjectId(5af7765d8bbcfc7f4b889e6a),,,,
6,"Tiger, Spieth rocket up leaderboard at Players",espn,Tiger Woods birdied four of his first five holes en route to a third-round 65 -- his best score ever at TPC Sawgrass -- at the Players Championship.,ObjectId(5af7765e8bbcfc7f4b889e6e),,,,
6,"C's Morris: Me, Kawhi best at defending LeBron",espn,"Celtics forward Marcus Morris is ready to embrace the challenge of defending Cavaliers star LeBron James, insisting that he's ""probably the best guy defending him in the league"" outside of the Spurs' Kawhi Leonard.",ObjectId(5af776608bbcfc7f4b889e72),,,,
6,Point and circumstance: Cavs' Hill gets diploma,espn,George Hill has gone from point guard to point grad in the NBA playoffs.,ObjectId(5af776618bbcfc7f4b889e76),,,,
6,Predators' Fisher retires again after 18 seasons,espn,"Mike Fisher, who came out of retirement in February and helped the Predators to the brink of the Western Conference finals, announced Saturday that he is hanging his skates up for good after 18 seasons.",ObjectId(5af776628bbcfc7f4b889e7b),,,,
1,Feige: MCU Has 'Plans' to Introduce Ms. Marvel After Captain Marvel - IGN,ign,"According Kevin Feige, bringing Ms. Marvel into the MCU &quot;is definitely sort of in the works.&quot;",ObjectId(5af776668bbcfc7f4b889e87),,,,
1,Armageddon vs. Deep Impact: 20 Years Later - IGN,ign,Which blockbuster movie about astronauts digging into a giant space rock in order to blow it up with nuclear weapons was better? Let's do Armageddon vs. Deep Impact as the films hit their 20th anniversary.,ObjectId(5af776678bbcfc7f4b889e8a),,,,
1,Infinity War: The Story Behind Thor's New Weapon Stormbreaker - IGN,ign,"He lost his hammer in Thor Ragnarok, but the thunder god's latest weapon in Avengers: Infinity War can trace its origins to some classic comics -- and a beloved character.",ObjectId(5af776688bbcfc7f4b889e8e),,,,
1,Tips and Tricks - Pillars of Eternity 2: Deadfire Wiki Guide - IGN,ign,"Tips and Tricks - Pillars of Eternity 2: Deadfire: Pillars of Eternity 2 doesn't pull it's punches. Even from the get go, the battles can be tough and the menus vast and full of options, leading to fi...",ObjectId(5af776698bbcfc7f4b889e92),,,,
9,"Knife Attack In Paris Leaves 1 Dead, Several Injured",the-huffington-post,The attacker was also shot and killed on Saturday.,ObjectId(5af7766b8bbcfc7f4b889e96),,,,
8,Trump's Attempt To Make An Example Of The Immigrant 'Caravan' Is Backfiring,the-huffington-post,Immigration prosecutions are normally open-and-shut cases. But the president???s tweets are once again undermining him in court.,ObjectId(5af7766c8bbcfc7f4b889e9b),,,,
8,Oklahoma Passes Adoption Law That L.G.B.T. Groups Call Discriminatory,the-new-york-times,"Gov. Mary Fallin signed the bill on Friday, angering critics who said it would allow agencies to discriminate against same-sex couples on religious grounds.",ObjectId(5af7766d8bbcfc7f4b889e9f),,,,
8,"His College Knew of His Despair. His Parents Didn???t, Until It Was Too Late.",the-new-york-times,Hamilton College knew that one of its students was in deep distress before he killed himself. His parents believe they should have been told.,ObjectId(5af7766e8bbcfc7f4b889ea3),,,,
9,The Royal Wedding: Frequently Asked Questions,the-new-york-times,What time is the royal wedding? Can you attend? How much will it cost? What name will be on Meghan Markle's driver's license? And dozens of your other really important royal wedding questions answered.,ObjectId(5af776708bbcfc7f4b889ea7),,,,
9,???We???ll Turn Your Village Into Soil???: Survivors Recount One of Myanmar???s Biggest Massacres,the-wall-street-journal,The Sunday afternoon massacre could rank as one of the largest by Myanmar???s security forces since the military initiated its campaign against the Rohningya.,ObjectId(5af776718bbcfc7f4b889eab),,,,
4,Tesla Executive Leaves for Alphabet Self-Driving-Car Unit Waymo,the-wall-street-journal,"Matthew Schwall, the director of field performance engineering at Tesla and the company???s main technical contact with U.S. safety regulators, joined the Alphabet self-driving-car unit.",ObjectId(5af776728bbcfc7f4b889eaf),,,,
9,North Korea Plans to Destroy Nuclear Test Site Ahead of Trump Summit,the-wall-street-journal,Pyongyang said it would blow up all the tunnels at the country???s northeastern testing ground and remove observation and research facilities ahead of the summit with Donald Trump.,ObjectId(5af776738bbcfc7f4b889eb3),,,,
5,"???No one has a leg up???: In wide-open 2020 presidential field, Democrats jockey to define their party ??"" and gain an advantage",the-washington-post,"Dozens of potential White House contenders, from politicians to business executives, are road-testing messages and policies.",ObjectId(5af776758bbcfc7f4b889eb7),,,,
5,Trump???s welfare reform plan misses a key piece: Transportation,the-washington-post,"As advocates eye ramped-up welfare work requirements, they worry that recipients won???t have a way to reach job centers.",ObjectId(5af776768bbcfc7f4b889ebc),,,,
4,Inside one of the only American resorts Trump has stayed at as president that he doesn't own,business-insider,"Omni Scottsdale Resort & Spa at Montelucia in Scottsdale, Arizona is the only American resort President Donald Trump didn't own that he's stayed at in office.",ObjectId(5af776778bbcfc7f4b889ec0),,,,
4,THE GLOBAL E-COMMERCE LANDSCAPE: How emerging markets will transform the future of online shopping,business-insider,"This report compiles several e-commerce snapshots, which together highlight the most notable emerging markets in various regions.",ObjectId(5af776788bbcfc7f4b889ec3),,,,
4,"THE VOICE APPS REPORT: The issues with discoverability, monetization, and retention, and how to solve them",business-insider,"In a new 2018 report, Business Insider Intelligence, Business Insider's premium research service, explores the two major viable voice app stores.",ObjectId(5af776798bbcfc7f4b889ec6),,,,
5,John Kelly walks back comment calling Trump 'embarrassed' by Mueller investigation,business-insider,White House Chief of Staff John Kelly clarified some of his comments from an NPR interview published Friday about the effect of an ongoing federal investigation,ObjectId(5af7767b8bbcfc7f4b889eca),,,,
7,AI 101: How learning computers are becoming smarter,business-insider,"In a new 2018 report, ? BI Intelligence,? Business Insider's premium research service, describes how AI works and looks at its present and potential future applic",ObjectId(5af7767c8bbcfc7f4b889ecd),,,,
7,The former tech chief at secretive trading firm Jump has joined a bitcoin exchange as raid on Wall Street talent continues in crypto,business-insider,BI PRIME: Former Jump trading CTO Steve Hunt joins bitcoin exchange Kraken as its vice president of engineering. Kraken isn't the only cryptocurrency exchange t,ObjectId(5af7767d8bbcfc7f4b889ed0),,,,
7,How to Build a Robo Advisor: Advice for Starting a Robo Advisory,business-insider,Robo advisors are going to transform the global wealth management industry. See how you can get a piece of the pie by building your own robo advisor.,ObjectId(5af7767e8bbcfc7f4b889ed3),,,,
1,26 Of The Most Ridiculous Moments From The 2018 Eurovision Song Contest,buzzfeed,From backpack dancing to stage invasions.,ObjectId(5af7767f8bbcfc7f4b889ed7),,,,
5,Second Democratic Senator Backs CIA Nominee Haspel,the-wall-street-journal,"Democratic Sen. Joe Donnelly of Indiana said he would support the nomination of Gina Haspel, giving a boost to President Trump???s pick for director of the CIA.",ObjectId(5af776838bbcfc7f4b889ee2),,,,
1,17 Photos That Are Hilarious In The Dumbest Way,buzzfeed,"You shouldn't laugh at these, but you will.",ObjectId(5af79b988bbcfc7f4b889f71),,,,
9,Japan Moves to Ease Aging Drivers Out of Their Cars,the-new-york-times,"In graying Japan, concern that drivers with dementia are causing accidents has prompted the authorities to urge older people to surrender their licenses.",ObjectId(5af79b9a8bbcfc7f4b889f7a),,,,
4,"At Toys ???R??? Us, a $200 Million Debt Problem Could Lead to $348 Million in Fees",the-new-york-times,"The retailer???s fall shows how lucrative bankruptcy can be for lawyers and other professionals, while creditors and workers are often left with little.",ObjectId(5af79b9c8bbcfc7f4b889f7e),,,,
9,Man Wielding Knife Kills 1 and Wounds 4 in Central Paris,the-new-york-times,"A man armed with a knife attacked five people in central Paris, killing one and wounding four, two seriously, according to the police.",ObjectId(5af79b9d8bbcfc7f4b889f82),,,,
9,French Authorities Open Antiterror Probe Into Paris Knife Attack,the-wall-street-journal,"The incident near the city???s opera house, in a neighborhood packed with restaurants and bars, left one dead and four wounded.",ObjectId(5af79b9e8bbcfc7f4b889f86),,,,
1,Israel wins Eurovision Song Contest,bbc-news,"""Thank you so much for choosing different"" Netta says after lifting the trophy.",ObjectId(5af79b9f8bbcfc7f4b889f8a),,,,
6,Lawro's final day Premier League predictions v England netball head coach Tracey Neville,bbc-sport,BBC football expert Mark Lawrenson takes on England netball head coach Tracey Neville to predict the final round of Premier League fixtures.,ObjectId(5af79ba28bbcfc7f4b889f8f),,,,
8,"A new fissure from the Hawaii volcano is spattering lava ??"" and it's just east of a geothermal energy plant",business-insider,"A new lava fissure has opened up on Hawaii's Big Island in the vicinity of a geothermal energy plant, reportedly piling up red and black lava up to 40 feet high",ObjectId(5af79ba38bbcfc7f4b889f94),,,,
8,"A journey along the entire 1,933-mile US-Mexico border shows the monumental task of securing it",business-insider,"The 1,933-mile US-Mexico border spans the southern tips of four US states and 24 counties. For 654 miles, fencing separates the two countries from each other, l",ObjectId(5af79ba48bbcfc7f4b889f98),,,,
1,"21 Times Jake And Amy Were Total Relationship Goals On ""Brooklyn Nine-Nine""",buzzfeed,"""I love you and I treasure you, and YA BORE ME.""",ObjectId(5af79ba58bbcfc7f4b889f9b),,,,
2,25 Kids Who Are Just Trying To Do Their Best,buzzfeed,They do the darndest things.,ObjectId(5af79ba78bbcfc7f4b889f9f),,,,
1,"I Watched ""Cruel Intentions"" As An Adult And Had So Many Thoughts",buzzfeed,I can't believe 13-year-old me got away with seeing this movie.,ObjectId(5af79baa8bbcfc7f4b889fa5),,,,
2,29 Pictures That Will Give You Intense High School Flashbacks,buzzfeed,Basically we all went to the same high school.,ObjectId(5af79bab8bbcfc7f4b889fa9),,,,
1,People Are Accusing The Eurovision Winner Of Cultural Appropriation,buzzfeed,"""Why do I feel like this stage is quite racist.""",ObjectId(5af79bac8bbcfc7f4b889fad),,,,
1,Literally Just 21 Funny Tweets From This Year's Eurovision,buzzfeed,"""European culture in a nutshell.""",ObjectId(5af79bae8bbcfc7f4b889fb2),,,,
9,"Israel destroys Gaza tunnel, boosts troop numbers, ahead of expected protests",cnn,"The Israeli military destroyed a tunnel in northern Gaza with an airstrike on Saturday night, according to Lt. Col. Jonathan Conricus.",ObjectId(5af79baf8bbcfc7f4b889fb6),,,,
5,"Trump to Senate: Approve funds for wall, border or skip August break",cnn,President Donald Trump said Saturday that the Senate should approve a government spending package that includes funding for border security and a wall before the August break or not go on recess.,ObjectId(5af79bb08bbcfc7f4b889fba),,,,
1,Best Horror Movies on Netflix Right Now (May 2018) - IGN,ign,"Whether you're in the mood for a classy thriller or an ultraviolent gorefest, or anything in between, these are the best horror movies on Netflix Streaming right now.",ObjectId(5af79bb38bbcfc7f4b889fc0),,,,
8,4 Men Charged With Hate Crimes In Beating Of Gay Couple,the-huffington-post,"A bystander was also beaten bloody in the attack, which was caught on camera.",ObjectId(5af79bb48bbcfc7f4b889fc4),,,,
9,"In Syria, an accidental bulwark against Iran shows confusion of Trump policy",the-washington-post,"What happened at an isolated U.S. base illustrates the ambivalence about taking on powerful groups backed by Iran. ???It was a scary few weeks,??ù an official said.",ObjectId(5af79bb58bbcfc7f4b889fc8),,,,
8,"Less cramming. More Frisbee. At Yale, students learn how to live the good life.",the-washington-post,Lessons from the school???s largest class ever are being shared online around the world.,ObjectId(5af79bb78bbcfc7f4b889fcd),,,,
8,Raising babies behind bars,the-washington-post,A bold experiment in parenting and punishment is allowing women to raise their children in prison. But is that a good thing?,ObjectId(5af79bb88bbcfc7f4b889fd1),,,,
8,How can the D.C. region absorb an Amazon headquarters if it can???t cope now with gridlock and housing costs?,the-washington-post,"Winning the contest to lure huge new investment would add 300,000 to 1 million residents to the area.",ObjectId(5af79bb98bbcfc7f4b889fd5),,,,
9,"Rediscovered in the alleys of Tangier, Morocco???s last link to the Beat Generation feels broken",the-washington-post,"Writer and artist Mohammed Mrabet knew Paul Bowles, Allen Ginsberg, Jack Kerouac and other famous American writers. Now, he lives in obscurity.",ObjectId(5af79bbb8bbcfc7f4b889fd9),,,,
9,"Europe???s antitrust cop, Margrethe Vestager, has Facebook and Google in her crosshairs",the-washington-post,The competition chief is examining whether privacy and antitrust law go together.,ObjectId(5af79bbc8bbcfc7f4b889fdd),,,,
1,Netta: 'Thank you for celebrating diversity',bbc-news,"The 25-year-old took home the trophy with her song Toy, inspired by the anti-harassment campaign #MeToo.",ObjectId(5af9be7f3c405d5f4020bd56),,,,
1,Godard conducts mobile news conference,bbc-news,The maverick film-maker lives up to his reputation by fielding questions from his Swiss home.,ObjectId(5af9be803c405d5f4020bd5a),,,,
4,Inside Shopify???s strategy for dominating the booming cannabis industry,business-insider,"BI PRIME: Shopify is setting its sights on dominating the booming cannabis industry. In February, the Canadian e-commerce giant inked a deal with the province o",ObjectId(5af9be823c405d5f4020bd5e),,,,
5,"In leaked conversation, Sarah Huckabee Sanders lambastes White House staffers over leaking details of private meetings",business-insider,White House press secretary Sarah Huckabee Sanders reportedly laid into the communications team Friday for leaking details of a White House staffer's mockery of,ObjectId(5af9be843c405d5f4020bd62),,,,
2,Pick Some Fancy Cheeses And We'll Reveal Your Best Quality,buzzfeed,"To brie, or not to brie ??"" is that even a question?",ObjectId(5af9be853c405d5f4020bd66),,,,
9,US to open controversial Jerusalem embassy,bbc-news,"Senior US officials are to attend Monday's ceremony, as Palestinians gather for mass protests.",ObjectId(5af9c20a3c405d5f4020bdc7),,,,
9,Gaza protest violence,bbc-news,Palestinians are killed at protests on the Israel-Gaza border before the US embassy in Jerusalem opens.,ObjectId(5af9c58f3c405d5f4020be28),,,,
6,US ruling opens way for sports betting,bbc-news,Gambling shares in the US and UK surge after the US Supreme Court paves the way for legalised sports betting.,ObjectId(5af9c5903c405d5f4020be2b),,,,
6,Does LeBron James have a world-class memory?,bbc-news,Basketball player LeBron James has astounded fans with his memory - here's his total recall secret.,ObjectId(5af9c5913c405d5f4020be2e),,,,
9,Operator denies blame after caller death,bbc-news,An emergency operator accused of ignoring a French woman's plea hours before her death says she refuses to take the blame.,ObjectId(5af9c5933c405d5f4020be31),,,,
9,Meet the wedding planners: US vs UK,bbc-news,"Two wedding planners, an American and a Brit, reveal what makes a great day.",ObjectId(5af9c5943c405d5f4020be35),,,,
9,Amputee makes history on Everest summit,bbc-news,Xia Boyu lost his feet to frostbite after giving his sleeping bag to a sick teammate in 1975.,ObjectId(5af9c5953c405d5f4020be38),,,,
7,Drug target for curing the common cold,bbc-news,Scientists are working on an inhalable treatment that could stop any cold virus in its tracks.,ObjectId(5af9c5963c405d5f4020be3b),,,,
9,Suicide bomb follows deadly church attacks,bbc-news,The explosion comes one day after bombs killed at least 13 people at churches in the same city.,ObjectId(5af9c5973c405d5f4020be3e),,,,
9,China praises Trump U-turn over saving ZTE,bbc-news,China welcomes move by the US president to help a telecoms firm subject to a US export ban.,ObjectId(5af9c5983c405d5f4020be41),,,,
6,"Manchester City have chance to dominate Premier League, says Alan Shearer",bbc-sport,"Champions Manchester City now have an opportunity to dominate the Premier League, says BBC Sport pundit Alan Shearer.",ObjectId(5af9c5993c405d5f4020be44),,,,
6,Italian Open: Johanna Konta beats Magdalena Rybarikova in first round,bbc-sport,Britain's Johanna Konta beats Magdalena Rybarikova for the second time in eight days with victory in the Italian Open first round.,ObjectId(5af9c59a3c405d5f4020be47),,,,
6,100-ball competition plans because young people 'not attracted to cricket',bbc-sport,"Young people are ""just not attracted to cricket"" which is why a new 100-ball competition is being proposed, says ECB chairman Colin Graves.",ObjectId(5af9c59b3c405d5f4020be4a),,,,
6,Chris Froome: Bid to add Giro title not 'likely',bbc-sport,"Chris Froome says his bid to hold all three grand tour titles at the same time is not ""likely"" after crashes hampered his first week in the Giro d'Italia.",ObjectId(5af9c59c3c405d5f4020be4d),,,,
6,England World Cup squad: Who goes to Russia? Statistics and numbers,bbc-sport,"Before Gareth Southgate names England's 23-man squad for the World Cup, BBC Sport looks at the stats for the contenders for selection.",ObjectId(5af9c59d3c405d5f4020be51),,,,
6,Spanish Grand Prix: Mercedes' Lewis Hamilton 'rejuvenated' by victory,bbc-sport,Mercedes driver Lewis Hamilton says his dominant Spanish Grand Prix victory has revitalised him after a difficult start to the season.,ObjectId(5af9c59e3c405d5f4020be54),,,,
6,"Scotland pick five uncapped players including Lewis Stevenson & Lewis Morgan, plus Johnny Russell",bbc-sport,US-based striker Johnny Russell joins five uncapped players including Lewis Stevenson and Lewis Morgan in the Scotland squad.,ObjectId(5af9c59f3c405d5f4020be57),,,,
6,World Cup 2018: Who will Gareth Southgate choose to go to Russia?,bbc-sport,Football Focus pundits Danny Murphy and Mark Lawrenson discuss Gareth Southgate's options for England's potential World Cup wildcards.,ObjectId(5af9c5a03c405d5f4020be5a),,,,
6,Paris St-Germain: Thomas Tuchel replaces Unai Emery as manager,bbc-sport,Paris St-Germain appoint former Borussia Dortmund boss Thomas Tuchel as their new manager to replace the departing Unai Emery.,ObjectId(5af9c5a13c405d5f4020be5d),,,,
6,'Rival fans told me to go and hang myself',bbc-sport,"Scottish footballer David Cox has battled depression for 15 years, attempting suicide a number of times. Here, he explains how the game he loves has also impacted his mental health.",ObjectId(5af9c5a23c405d5f4020be60),,,,
4,Aurora to Buy MedReleaf for $2.5 Billion as Pot Laws Ease,bloomberg,"Aurora Cannabis Inc., a Canadian provider of medical marijuana, agreed to buy rival MedReleaf Corp. for about C$3.2 billion ($2.5 billion) in stock, gearing up for growth in demand for weed as governments ease restrictions on its use.",ObjectId(5af9c5a43c405d5f4020be63),,,,
8,The Bettor???s State-by-State Guide to Legal Sports Gambling,bloomberg,"Now that the Supreme Court has overturned the federal ban on sports betting, some fans in the U.S. should be able to place bets within weeks.",ObjectId(5af9c5a53c405d5f4020be66),,,,
3,Bitcoin Climbs From Three-Week Low as Lambos Take Manhattan,bloomberg,The crypto bros have taken over Midtown Manhattan.,ObjectId(5af9c5a63c405d5f4020be69),,,,
3,George Soros Gets Most of His $2 Billion Back From Scott Bessent,bloomberg,"Very few hedge fund managers start with $2 billion from investor George Soros. One who did, Scott Bessent, has already given much of it back.",ObjectId(5af9c5a73c405d5f4020be6c),,,,
4,Mylan Critic Blumenthal Asks FDA to End ???Urgent??? EpiPen Shortage,bloomberg,"U.S. Senator Richard Blumenthal, who criticized Mylan NV for jacking up the price of its EpiPen allergy shot two years ago, called on federal officials to help end what he called an urgent and alarming shortage of the life-saving device.",ObjectId(5af9c5a83c405d5f4020be70),,,,
3,Casino Stocks Jump After Sports-Wagering Ban Gets Overturned,bloomberg,"Shares of casino companies soared after the U.S. Supreme Court struck down a federal law that bars gambling on individual sporting events, opening up a new source of revenue for the industry.",ObjectId(5af9c5a93c405d5f4020be73),,,,
9,Nafta Negotiators Set to Miss Ryan's May 17 Target Without Deal,bloomberg,"Nafta negotiators from the U.S., Canada and Mexico are poised to miss House Speaker Paul Ryan???s deadline this week, the latest blown marker for reworking the 24-year-old deal.",ObjectId(5af9c5aa3c405d5f4020be76),,,,
9,Canadian Millennials Are Feeling Higher Rates in Their Wallets,bloomberg,"More than half of Canadians under 35 years old said they are spending less because of recent interest rate increases, according to a survey by Nanos Research.",ObjectId(5af9c5ab3c405d5f4020be79),,,,
3,Everyone Wants to See Green in Bonds,bloomberg,"Also Hovnanian, research analysts and art.",ObjectId(5af9c5ac3c405d5f4020be7c),,,,
9,Why Germans Are Getting Fed Up with America,bloomberg,It???s getting harder for Angela Merkel and the German elite to hold back growing anti-Americanism.,ObjectId(5af9c5ad3c405d5f4020be7f),,,,
9,Jared Kushner is hyping a peace deal as Israel kills scores of Palestinian protesters during US embassy move to Jerusalem,business-insider,"On Monday alone, Israeli troops killed 16 Palestinians, including a 14-year-old boy and a man in a wheelchair, and some 500 protesters were injured. The United",ObjectId(5af9c5ae3c405d5f4020be82),,,,
4,Meet the contenders duking it out to run Goldman Sachs' vaunted sales and trading division,business-insider,BI Prime: These five executives are likely to co-run Goldman's securities division alongside Ashok Varadhan following the departures of Isabelle Ealet and Pablo,ObjectId(5af9c5b03c405d5f4020be85),,,,
4,Supreme Court rules that ban on sports betting is unconstitutional,business-insider,"On Monday the Supreme Court ruled that the federal ban on sports betting was unconstitutional, opening up a huge potential market for New Jersey and beyond.",ObjectId(5af9c5b13c405d5f4020be88),,,,
9,Trump's 'astonishing reversal' on a Chinese tech giant could signal a big shift in the trade battle,business-insider,"President Donald Trump tweeted Sunday that the US would reverse sanctions on Chinese telecom giant ZTE. The decision drew criticism from many groups, but also s",ObjectId(5af9c5b23c405d5f4020be8c),,,,
4,"GOLDMAN SACHS: A closely watched market indicator is broken ??"" here's how you can take advantage and make a killing",business-insider,"BI PRIME: A closely watched stock market indicator looks broken to Goldman Sachs, which cites aberrant trading in recent weeks. The firm provides a trade recomm",ObjectId(5af9c5b33c405d5f4020be8f),,,,
2,Why it's so hard for millennials to buy homes,business-insider,"Buying a house is harder for millennials than it was for their parents' generation, but that doesn't mean all hope is lost. Depending on where you want to live,",ObjectId(5af9c5b43c405d5f4020be93),,,,
3,CREDIT SUISSE: Stocks are 'coiling for a break higher',business-insider,"BI PRIME: A ""clear positive"" for the S&P 500 is that it has rebounded from its 200-day moving average after closing below it in April for the first time in near",ObjectId(5af9c5b53c405d5f4020be96),,,,
4,Tim Cook took another thinly disguised shot at Mark Zuckerberg over the Facebook data fiasco,business-insider,"Tim Cook said Apple was 'respectful' with user information, in contrast with Facebook which has been mired in an epic data scandal in recent weeks. It is not th",ObjectId(5af9c5b63c405d5f4020be99),,,,
9,MH370 investigators say captain deliberately crashed the plane in murder-suicide,business-insider,The Malaysia Airlines jet was on a routine flight from Kuala Lumpur to Beijing on 8 March 2014 with 239 people on board when it disappeared.,ObjectId(5af9c5b73c405d5f4020be9c),,,,
7,A startup that wants to make treatments that edit single letters in our DNA just raised $87 million,business-insider,"BIPRIME: The cutting-edge technology, known as base editing, acts as a molecular pencil, co-founder David Liu told Business Insider. In contrast, CRISPR, anothe",ObjectId(5af9c5b83c405d5f4020be9f),,,,
9,Israeli Soldiers Have Shot Dead Dozens Of Palestinians Protesting The US Opening Its Embassy In Jerusalem,buzzfeed,"The shootings took place about 100 kilometers from a ceremony filled with pomp and circumstance, remarks by President Donald Trump's daughter and son-in-law, and a video address from Trump himself.",ObjectId(5af9c5ba3c405d5f4020bea2),,,,
2,People Are Touched By This Writer's Conversation With A Bunch Of Fourth Graders,buzzfeed,"""Kids are books filled with blank pages.""",ObjectId(5af9c5bb3c405d5f4020bea5),,,,
